Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,12pf,C_0402_1005Metric,111.88,-83.37,0,top
C2,12pf,C_0402_1005Metric,117.82,-82.09,180,top
C3,100nf,C_0402_1005Metric,113.7,-51.4,0,top
C4,100nf,C_0402_1005Metric,113.69,-69.6,180,top
C5,100nf,C_0402_1005Metric,118.15,-65.695,90,top
C6,100nf,C_0402_1005Metric,125.18,-67.74,90,top
C7,100nf,C_0402_1005Metric,123.95,-67.74,90,top
C8,100nf,C_0402_1005Metric,125.85,-74.13,0,top
C9,100nf,C_0402_1005Metric,110.87,-73.275,180,top
C10,100nf,C_0402_1005Metric,118.45,-79.87,-90,top
C11,1uf,C_0402_1005Metric,122.78,-67.74,90,top
C12,100nf,C_0402_1005Metric,119.57,-79.87,-90,top
C13,1uf,C_0402_1005Metric,121.55,-67.65,90,top
C14,100nf,C_0402_1005Metric,116.6,-65.67,90,top
C15,10uf,C_1206_3216Metric,126.16,-45.08,0,top
C16,10uf,C_1206_3216Metric,128.975,-57.47,0,top
J2,USB_B_Micro,Test_MICRO-USB-SMD_47346-0001,119.455,-43.17,180,top
R1,1k,R_0402_1005Metric,109.5,-46.44,-90,top
R2,27r,R_0402_1005Metric,119.2,-66.165,-90,top
R3,27r,R_0402_1005Metric,120.2,-66.165,90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,118.86,-73.3075,0,top
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,111.99,-55.2,-90,top
U3,NCP1117ST33T3G1,SOT-223,127.29,-51.31,90,top
Y1,XYDBPCNANF-12MHZ,Xstal_2520_4P_XYDBPCNANF-12MHZ,114.77,-82.64,180,top
