Comment,Designator,Footprint,LCSC
"10uF","C1,C3","Capacitor_SMD:C_1206_3216Metric","C13585"
"100nf","C2","Capacitor_SMD:C_0402_1005Metric","C1525"
"12pF","C4,C5","Capacitor_SMD:C_0402_1005Metric","C1547"
"100nF","C6,C8,C10,C11,C12,C13,C14,C15,C16","Capacitor_SMD:C_0402_1005Metric","C1525"
"1uF","C7,C9","Capacitor_SMD:C_0402_1005Metric","C52923"
"Conn_01x02_Pin","J1","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"USB_B_Micro","J2","CDog:MICRO-USB-SMD_C393940","C393940"
"1k","R1","Resistor_SMD:R_0402_1005Metric","C279981"
"27r","R2,R3","Resistor_SMD:R_0402_1005Metric","C2909343"
"W25Q128JVS","U1","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"NCP1117ST33T3G1","U2","Package_TO_SOT_SMD:SOT-223","C6186"
"RP2040","U3","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","C2040"
"~","U4,U5,U6,U7,U8,U9","cdog:Game_Conn_Button_C221902","C221902"
"XYDBPCNANF-12MHZ","Y1","cdog:Xstal_2520_4P_XYDBPCNANF-12MHZ","C521567"
